,TICID,Camera,CCD,Tmag,RA,Dec,planet,light_curve
96,1003831,2,4,10.63,130.2952,-16.0363,1,TessLightCurve(TICID: 1003831)
128,1103432,2,4,12.77,130.5814,-17.1894,1,TessLightCurve(TICID: 1103432)
143,1133072,2,1,12.54,131.0862,-28.0768,1,TessLightCurve(TICID: 1133072)
659,13349647,1,1,12.15,131.5804,-8.027,1,TessLightCurve(TICID: 13349647)
1319,25155310,4,3,10.55,63.3748,-69.2265,1,TessLightCurve(TICID: 25155310)
1771,29781292,4,3,8.93,65.2383,-68.1027,1,TessLightCurve(TICID: 29781292)
1793,29831208,4,3,11.04,66.5828,-67.8063,1,TessLightCurve(TICID: 29831208)
1826,30037565,4,4,9.59,73.542,-70.379,1,TessLightCurve(TICID: 30037565)
1838,30122649,3,1,10.02,133.7486,-44.2887,1,TessLightCurve(TICID: 30122649)
1872,30312676,4,3,11.27,74.2867,-66.3903,1,TessLightCurve(TICID: 30312676)
1943,30828562,3,1,8.11,134.7184,-43.4528,1,TessLightCurve(TICID: 30828562)
1950,30853470,4,3,11.22,75.916,-66.6549,1,TessLightCurve(TICID: 30853470)
2014,31268146,4,4,10.09,88.0713,-70.9204,1,TessLightCurve(TICID: 31268146)
2107,32090583,4,3,13.55,58.4203,-68.7395,1,TessLightCurve(TICID: 32090583)
2271,33831980,4,4,11.89,63.416,-76.0981,1,TessLightCurve(TICID: 33831980)
2329,33878688,4,4,11.11,66.2219,-73.3335,1,TessLightCurve(TICID: 33878688)
2372,37575651,2,2,8.27,135.3405,-28.3246,1,TessLightCurve(TICID: 37575651)
2475,38460940,4,3,13.16,61.1363,-62.9896,1,TessLightCurve(TICID: 38460940)
2531,38509907,4,3,11.94,62.3797,-62.8505,1,TessLightCurve(TICID: 38509907)
2532,38510224,4,3,11.68,62.5161,-61.9427,1,TessLightCurve(TICID: 38510224)
2573,38571020,4,3,10.16,63.1994,-64.3479,1,TessLightCurve(TICID: 38571020)
2628,38603673,4,3,9.54,64.4151,-61.392,1,TessLightCurve(TICID: 38603673)
2800,38846515,4,3,10.31,68.9599,-64.027,1,TessLightCurve(TICID: 38846515)
2932,41227743,4,4,10.71,91.5198,-69.4202,1,TessLightCurve(TICID: 41227743)
3564,55383975,4,3,11.23,77.3836,-64.026,1,TessLightCurve(TICID: 55383975)
3674,55525572,4,3,9.82,72.6941,-60.9055,1,TessLightCurve(TICID: 55525572)
