,TICID,Camera,CCD,Tmag,RA,Dec,planet,light_curve
5688,131476593,3,2,11.34,118.2254,-39.6894,0,"[array([0.98934883, 0.98626667, 0.98850203, ..., 0.99938017, 0.99945271,
       1.0003444 ]), array([1517.36668446, 1517.3791845 , 1517.39099008, ..., 1541.97269697,
       1541.98450222, 1541.99700189])]"
18651,391948086,4,4,10.97,108.1228,-76.2529,0,"[array([0.95302463, 0.95244688, 0.9547298 , ..., 0.92931408, 0.93057001,
       0.92923039]), array([1517.36326971, 1517.3757699 , 1517.38757565, ..., 1541.96997898,
       1541.98178473, 1541.99428493])]"
14103,294626418,4,4,10.51,70.3569,-70.6911,0,"[array([0.99344903, 0.99291176, 0.99208987, ..., 1.00436521, 1.00389004,
       1.00443804]), array([1517.36222396, 1517.37402949, 1517.38861279, ..., 1541.96918615,
       1541.98099172, 1541.99349173])]"
9409,178881770,1,3,10.05,151.5319,-3.6599,0,"[array([0.99507976, 0.99610043, 0.99471432, ..., 0.99684179, 0.9975127 ,
       0.99673903]), array([1517.36887019, 1517.38137064, 1517.39317661, ..., 1541.97551713,
       1541.98732256, 1541.99982242])]"
5392,121798546,3,4,9.81,132.3824,-54.8603,0,"[array([1.00595093, 1.0034982 , 1.00222373, ..., 1.00974798, 1.0093143 ,
       1.01018286]), array([1517.36551282, 1517.3780131 , 1517.38981893, ..., 1541.97217185,
       1541.98397745, 1541.99647749])]"
9088,176875333,4,4,9.76,101.0844,-76.0351,0,"[array([0.99281478, 0.99627781, 0.99431592, ..., 1.00321293, 1.00331926,
       1.00395882]), array([1517.36320546, 1517.37292781, 1517.3882058 , ..., 1541.96985489,
       1541.98166062, 1541.99416079])]"
6698,142087047,4,4,8.85,98.7099,-75.2188,0,"[array([0.99677569, 0.99678397, 0.99480468, ..., 1.00045109, 1.00059807,
       1.00019491]), array([1517.36323977, 1517.37573992, 1517.38754562, ..., 1541.96984697,
       1541.98165268, 1541.99415283])]"
16590,348992108,4,1,14.73,106.9111,-62.3782,0,"[array([0.98646289, 1.00208926, 1.00684977, ..., 0.99041647, 1.01373959,
       1.00105464]), array([1517.36448357, 1517.37767809, 1517.38948371, ..., 1541.97080681,
       1541.98261231, 1541.99511226])]"
19727,453034679,1,3,9.51,144.6592,0.3119,0,"[array([0.98935747, 0.99035478, 0.98997587, ..., 1.00161433, 1.00113106,
       1.00077212]), array([1517.36497088, 1517.3788601 , 1517.39413824, ..., 1541.97545172,
       1541.98725698, 1541.99975668])]"
14840,307439220,4,1,10.42,125.9736,-66.7801,0,"[array([0.99852794, 0.9970355 , 0.99222481, ..., 0.98983896, 0.98976749,
       0.98996305]), array([1517.36433073, 1517.37683099, 1517.38863678, ..., 1541.97104742,
       1541.98285311, 1541.99535325])]"
12810,278778688,4,2,14.35,100.0661,-57.8681,0,"[array([0.95181024, 0.98684245, 0.98160148, ..., 1.00450444, 1.02319872,
       1.01739538]), array([1517.37441382, 1517.38413602, 1517.39871932, ..., 1541.97077589,
       1541.98258128, 1541.9950811 ])]"
5830,134222007,3,3,8.57,106.6879,-44.7992,0,"[array([0.99434632, 0.994591  , 0.99458861, ..., 1.00155258, 1.00079107,
       1.00109577]), array([1517.36595402, 1517.37706505, 1517.3902594 , ..., 1541.9717909 ,
       1541.98359611, 1541.99609574])]"
10942,238163766,3,3,8.92,106.4133,-50.3082,0,"[array([0.98727661, 0.98801106, 0.98842639, ..., 1.00396776, 1.003443  ,
       1.00416517]), array([1517.36827582, 1517.38494243, 1517.3960535 , ..., 1541.97147858,
       1541.98328388, 1541.9957836 ])]"
16069,340638483,3,4,8.12,116.727,-58.9066,0,"[array([0.99801475, 0.99787796, 0.99732226, ..., 1.00088787, 1.00062764,
       1.00084841]), array([1517.36219923, 1517.37400491, 1517.3871995 , ..., 1541.97138087,
       1541.98318639, 1541.99568634])]"
19226,410451090,3,4,6.34,119.9169,-60.2073,0,"[array([1.00132728, 1.00048161, 0.99990952, ..., 1.0010798 , 1.00107694,
       1.00111818]), array([1517.36629051, 1517.37879069, 1517.39059641, ..., 1541.97139328,
       1541.98319884, 1541.99569884])]"
18761,396807483,1,2,10.84,147.6173,-15.2474,0,"[array([0.98547846, 0.99067307, 0.98966062, ..., 1.00371206, 1.00311065,
       1.00366879]), array([1517.38789624, 1517.40664688, 1517.41775837, ..., 1541.97509466,
       1541.9869001 , 1541.99939998])]"
9753,184900214,3,1,9.01,128.1786,-40.6666,0,"[array([0.99805999, 0.99805719, 0.99653512, ..., 1.00811243, 1.00779319,
       1.00843024]), array([1517.36676036, 1517.37926055, 1517.39106628, ..., 1541.97308261,
       1541.98488799, 1541.9973878 ])]"
4278,71264700,1,1,10.42,134.6324,-5.4332,0,"[array([0.99136674, 0.98975748, 0.99179763, ..., 1.00305462, 1.00370562,
       1.00208604]), array([1517.40720794, 1517.41901363, 1517.43290267, ..., 1541.97500332,
       1541.98680844, 1541.99930798])]"
3057,46825126,1,2,12.01,142.2313,-7.3739,0,"[array([0.84911591, 0.84791398, 0.85184455, ..., 1.06672215, 1.07024395,
       1.06465042]), array([1517.36542933, 1517.38279084, 1517.39112437, ..., 1541.97522521,
       1541.98703048, 1541.99953019])]"
13549,287326892,3,3,13.91,109.7329,-56.6371,0,"[array([0.87814677, 0.90599889, 0.90218931, ..., 0.87960577, 0.88492918,
       0.88296789]), array([1517.36504544, 1517.37754548, 1517.38935109, ..., 1541.97126218,
       1541.98306761, 1541.99556747])]"
3593,55403632,4,3,10.72,77.9865,-64.3729,0,"[array([1.00942469, 1.00872016, 1.00934911, ..., 0.99638063, 0.99606091,
       0.99722439]), array([1517.76210648, 1517.77252307, 1517.78502298, ..., 1541.9695554 ,
       1541.98136084, 1541.99386072])]"
18358,383946834,3,4,8.01,135.4685,-56.8411,0,"[array([0.99624753, 0.99556148, 0.99387634, ..., 0.99996996, 1.00013959,
       0.99994171]), array([1517.36185661, 1517.37505139, 1517.38477386, ..., 1541.97208328,
       1541.98388893, 1541.99638903])]"
