,TICID,Camera,CCD,Tmag,RA,Dec,planet,light_curve
447,3996132,2,2,8.21,140.051,-38.0812,0,TessLightCurve(TICID: 3996132)
10091,189564946,2,3,8.18,143.6687,-25.9108,0,TessLightCurve(TICID: 189564946)
12239,270627594,4,2,7.64,87.2348,-53.462,0,TessLightCurve(TICID: 270627594)
3729,55650170,4,3,10.2,73.8468,-63.4509,0,TessLightCurve(TICID: 55650170)
2637,38609673,4,3,11.19,64.9533,-65.4548,0,TessLightCurve(TICID: 38609673)
5799,133848187,3,2,8.37,121.5331,-41.7905,0,TessLightCurve(TICID: 133848187)
1193,24914757,2,2,8.0,142.3461,-35.5893,0,TessLightCurve(TICID: 24914757)
16319,345032207,1,3,8.4,152.9073,2.2214,0,TessLightCurve(TICID: 345032207)
10009,189297201,2,3,8.09,141.8645,-28.3946,0,TessLightCurve(TICID: 189297201)
7850,150321663,4,2,14.73,95.5414,-61.602,0,TessLightCurve(TICID: 150321663)
8316,167123841,4,1,10.09,96.3016,-66.4861,0,TessLightCurve(TICID: 167123841)
2297,33839723,4,4,10.61,64.8101,-72.505,0,TessLightCurve(TICID: 33839723)
19920,469351478,1,4,10.38,141.8011,0.6395,0,TessLightCurve(TICID: 469351478)
6963,144629665,2,1,9.62,121.5306,-30.5524,0,TessLightCurve(TICID: 144629665)
4869,94003407,3,1,10.38,130.7237,-48.8674,0,TessLightCurve(TICID: 94003407)
1521,25779498,2,2,12.8,145.4576,-31.2815,0,TessLightCurve(TICID: 25779498)
18229,382529139,3,4,11.12,117.6105,-61.1454,0,TessLightCurve(TICID: 382529139)
1717,29210198,3,1,6.51,132.8656,-42.5044,0,TessLightCurve(TICID: 29210198)
10951,238230578,4,4,11.27,59.4268,-72.568,0,TessLightCurve(TICID: 238230578)
4931,95864716,1,1,6.96,136.2386,-10.1217,0,TessLightCurve(TICID: 95864716)
3900,56794980,2,1,8.03,127.3601,-34.6993,0,TessLightCurve(TICID: 56794980)
14693,306665596,4,1,9.44,120.1645,-67.0473,0,TessLightCurve(TICID: 306665596)
10590,231088021,4,3,8.75,68.7216,-69.083,0,TessLightCurve(TICID: 231088021)
14326,300086597,4,1,9.71,108.1034,-70.4376,0,TessLightCurve(TICID: 300086597)
15741,339767654,3,3,10.36,111.2182,-55.762,0,TessLightCurve(TICID: 339767654)
753,13821163,1,1,10.31,134.2135,-5.9325,0,TessLightCurve(TICID: 13821163)
19996,471015190,4,1,10.59,95.995,-68.485,0,TessLightCurve(TICID: 471015190)
4223,62844832,1,3,9.9,154.7229,-2.8733,0,TessLightCurve(TICID: 62844832)
15649,332712516,1,2,9.18,150.444,-14.7242,0,TessLightCurve(TICID: 332712516)
7019,145312494,3,1,8.99,132.1021,-48.8437,0,TessLightCurve(TICID: 145312494)
9585,180984873,3,1,8.14,130.0034,-41.1126,0,TessLightCurve(TICID: 180984873)
11080,255565783,4,2,5.29,96.3212,-51.8397,0,TessLightCurve(TICID: 255565783)
2402,38033574,2,3,12.26,136.8924,-24.3024,0,TessLightCurve(TICID: 38033574)
18227,382529041,3,4,8.99,117.8,-61.2545,0,TessLightCurve(TICID: 382529041)
8249,156539266,2,1,15.63,125.0052,-26.9836,0,TessLightCurve(TICID: 156539266)
13240,281426580,3,2,9.65,110.1284,-40.9269,0,TessLightCurve(TICID: 281426580)
12596,275308895,1,3,5.3,149.7034,4.8083,0,TessLightCurve(TICID: 275308895)
18071,382041479,4,3,14.63,78.8653,-59.6191,0,TessLightCurve(TICID: 382041479)
7011,145174856,2,1,14.74,122.3276,-31.5308,0,TessLightCurve(TICID: 145174856)
10254,196461089,2,1,15.83,129.5586,-28.9674,0,TessLightCurve(TICID: 196461089)
2712,38708544,4,3,9.4,66.6153,-64.0262,0,TessLightCurve(TICID: 38708544)
5315,118759591,2,4,10.95,134.607,-18.4318,0,TessLightCurve(TICID: 118759591)
13868,293267933,4,2,11.2,98.456,-62.5388,0,TessLightCurve(TICID: 293267933)
8217,155885021,2,1,8.69,123.9184,-26.011,0,TessLightCurve(TICID: 155885021)
15076,308695364,2,4,8.3,135.3897,-14.4912,0,TessLightCurve(TICID: 308695364)
16225,344136084,3,3,10.46,108.2226,-52.3301,0,TessLightCurve(TICID: 344136084)
1116,22970720,3,2,13.62,109.18,-41.3158,0,TessLightCurve(TICID: 22970720)
1847,30189015,4,3,12.01,73.8066,-69.1104,0,TessLightCurve(TICID: 30189015)
13430,285403759,2,1,13.99,129.2146,-28.5784,0,TessLightCurve(TICID: 285403759)
2920,41110118,4,4,11.7,91.1243,-70.9527,0,TessLightCurve(TICID: 41110118)
2406,38039056,2,2,14.52,136.8272,-29.4636,0,TessLightCurve(TICID: 38039056)
15721,339672887,3,3,4.78,110.4401,-56.2529,0,TessLightCurve(TICID: 339672887)
2172,33281803,1,3,12.96,149.449,-6.1858,0,TessLightCurve(TICID: 33281803)
10518,220477688,4,3,11.25,75.7045,-59.5998,0,TessLightCurve(TICID: 220477688)
9331,177388161,4,4,10.09,104.7666,-74.6323,0,TessLightCurve(TICID: 177388161)
10251,196428622,2,1,14.59,129.4972,-27.6505,0,TessLightCurve(TICID: 196428622)
